PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35
29162889,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29116351,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29097654,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29093311,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29040311,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29029133,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29021793,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29020589,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29017393,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29017278,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28992614,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28991917,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28947673,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28902217,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28879118,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28836211,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28807685,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28793923,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28793908,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28766731,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28735466,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28721309,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28679761,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28665950,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28659479,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28573633,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28573612,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28566377,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28505570,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28497800,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28490593,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28465576,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28464560,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28459810,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28457334,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28438127,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28423643,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28355270,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28332721,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28299315,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28285168,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28284313,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28262699,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28250123,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28189564,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28188746,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28166739,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28166228,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28158275,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28152588,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28124907,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28122910,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28115672,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28108469,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28096532,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28079506,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28073857,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28063566,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28050868,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28003349,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27998698,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27974537,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27956531,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27939819,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27909068,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27847361,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27838201,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27736754,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27755595,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27732819,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27727270,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27696011,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27639807,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27638947,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27638946,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27632552,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27596037,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27594198,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27587634,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27587631,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27581981,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27553639,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27549586,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27531847,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27525377,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27521365,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27506240,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27481863,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27470105,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27460797,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27450090,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27443616,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27418576,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27413652,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27388584,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27385476,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27343681,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27334891,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27295878,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
