PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35
26343012,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26284260,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26157117,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27622822,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
25974265,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
25901794,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
25719445,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
25609809,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
25493356,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
25481298,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
39772240,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
39216384,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
39018540,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
39018539,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
38484056,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
37758067,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
37477257,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
37306620,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
36898483,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
36804324,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
36379378,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
36279832,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
35413016,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
35246537,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
